Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
holiday-no-23-necklace-set,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/23.jpg?v=1576691371,2,,,,,,,,,,,,,,,,,,,,,
holiday-no-22-necklace-set,Holiday No. 22 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage dish charm 18 inches<br>- Georgia 18 inches<br>- Navajo Beads 16 inches </p>
<meta charset=""utf-8"">
<p><span>This Necklace set comes Gift Wrapped.</span></p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,175,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/22.jpg?v=1576373153,1,,FALSE,,,,,,,,,,,,,,,,,lb,,40
holiday-no-20-necklace-set,Holiday No. 20 | Necklace Set,"<p> </p>
<p>Beautiful Dragon Fly necklace. A one of a kind piece. 26 inch chain.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,1,deny,manual,360,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/image_ff7eeac0-ceab-4f7f-9010-ef77f99e62bf.jpg?v=1576691201,1,,FALSE,,,,,,,,,,,,,,,,,lb,,120
holiday-no-20-necklace-set,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/20.jpg?v=1576691201,2,,,,,,,,,,,,,,,,,,,,,
holiday-no-21-necklace-set,Holiday No. 21 | Necklace Set,"<p>Hand picked by Jazlyn. These necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Dish Charm 20 inches<br>- Caroline Necklace 16 inches<br>- Silver Arrow Choker 14 inches</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,101.5,145,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/image_aa15ef9f-10a0-4ae1-a852-7a2296a61e1a.jpg?v=1576863273,1,,FALSE,,,,,,,,,,,,,,,,,lb,,65
holiday-no-21-necklace-set,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/21.jpg?v=1576863273,2,,,,,,,,,,,,,,,,,,,,,
holiday-no-19-necklace-set,Holiday No. 19 | Necklace Set,"<p>Hand picked by Jazlyn. These necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Buffalo Rose Dish Charm 20 inches<br>- Aqua and Silver Necklace 16 inches<br>- Goddess Choker 14 inches</p>
<p>This Necklace set comes Gift Wrapped.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,185,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/6Q7A7194.jpg?v=1576299523,1,,FALSE,,,,,,,,,,,,,,,,,lb,,40
holiday-no-18-necklace-set,Holiday No. 18 | Necklace Set,"<p>Hand picked by Jazlyn. These two necklaces are actually connected together. Included in the set:</p>
<p>- Vintage Dish Charm 16 inches<br>- Silver Pearl Necklace 14 inches</p>
<p>This Necklace set comes Gift Wrapped.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,75,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/6Q7A7192.jpg?v=1576299238,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
holiday-no-16-necklace-set,Holiday No. 16 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Dish Charm 18 inches<br>- Silver Bead Necklace 16 inches<br>- Silver Arrow Choker 14 inches</p>
<p>This Necklace set comes Gift Wrapped.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,0,deny,manual,160,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/6Q7A7186.jpg?v=1576299068,1,,FALSE,,,,,,,,,,,,,,,,,lb,,40
holiday-no-2-16,Holiday No. 17 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Silver Arrow Choker<br>- Silver charm necklace on olive chain <br>- Caroline with pearl chain</p>
<meta charset=""utf-8"">
<p><span> </span></p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Color,Pearl,,,,,,91,shopify,0,deny,manual,95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/6Q7A7202.jpg?v=1576298834,1,,FALSE,,,,,,,,,,,,,,,,,lb,,40
vintage-dish-southwest,Vintage Dish | Southwest,Beautiful vintage dishes that have been hand cut and set into sterling silver. On a 18 inch turquoise and sterling silver chain.,Goldie Lew,Necklaces,,TRUE,Size,18 Inch,,,,,,45,shopify,0,deny,manual,79,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC07283.jpg?v=1576197944,1,,FALSE,,,,,,,,,,,,,,,,,lb,,25
vintage-dish-the-bronc-rider-no-2,Vintage Dish | The Bronc Rider No. 2,Beautiful vintage dishes that have been hand cut and set into sterling silver. On a 20 inch sterling silver chain.,Goldie Lew,Necklaces,,TRUE,Size,20 Inch,,,,,,45,shopify,0,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC07364.jpg?v=1576197892,1,,FALSE,,,,,,,,,,,,,,,,,lb,,25
vintage-dish-the-bronc-rider-no-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC07358.jpg?v=1576197892,2,,,,,,,,,,,,,,,,,,,,,
fvintage-dish-the-bronc-rider-no-1,Vintage Dish | The Bronc Rider No. 1,Beautiful vintage dishes that have been hand cut and set into sterling silver. On a 20 inch pearl and sterling silver chain.,Goldie Lew,Necklaces,,TRUE,Size,20 Inch,,,,,,45,shopify,0,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC07328.jpg?v=1576197826,1,,FALSE,,,,,,,,,,,,,,,,,lb,,25
vintage-dish-the-rancher,Vintage Dish | The Rancher,Beautiful vintage dishes that have been hand cut and set into sterling silver. On a 20 inch pearl and sterling silver chain.,Goldie Lew,Necklaces,,TRUE,Size,20 Inch,,,,,,45,shopify,0,deny,manual,109,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC07213.jpg?v=1576197757,1,,FALSE,,,,,,,,,,,,,,,,,lb,,33
vintage-dish-the-rancher,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC07227.jpg?v=1576197757,2,,,,,,,,,,,,,,,,,,,,,
